PL_Flux_Density,PL_Index,LP_Flux_Density,LP_Index,LP_beta,LP_SigCurv,PLEC_Flux_Density,PLEC_IndexS,PLEC_ExpfactorS,PLEC_Exp_Index,PLEC_SigCurv,Npred,Variability_Index,Frac_Variability,CLASS1,spectrum_logparabola,spectrum_powerlaw,spectrum_plsuperexpcutoff,CLASE_PREDICHA,PROB_BLL,PROB_FSRQ,PROB_NoAGN,NombreFuente
3.2081274e-13,2.6718562,4.606738e-13,2.82202,0.32896906,3.278656,4.7114477e-13,2.6566045,0.739345,0.6666667,3.2776597,928.5198,3.9163,0,SrcVela,1,0,0,NoAGN,0.000635234,0.037523407,0.96184134,4FGL J0853.2-4218c
9.107252e-13,2.7577732,1.4490954e-12,2.9898472,0.48314756,5.6243567,1.48627e-12,2.8423166,1.1037357,0.6666667,5.591139,1572.2759,3.5918531,0,SrcVela,1,0,0,NoAGN,1.2913769e-05,0.018381936,0.98160523,4FGL J0853.6-4306
1.1868107e-12,2.3630567,1.539963e-12,2.114101,0.35887182,10.526409,1.4890976e-12,2.0351164,0.52389777,0.6666667,10.756627,3088.4478,10.974395,0,SrcVela,1,0,0,NoAGN,1.5099054e-08,1.0423748e-06,0.9999989,4FGL J0854.8-4504
2.6201304e-14,2.3918407,2.5911097e-14,2.383435,-0.009300171,0,2.975803e-14,2.595181,0.40792853,0.6666667,0,571.1263,19.076635,0.29677185,SrcVela,0,1,0,BLL,0.39472347,0.3446669,0.26060963,4FGL J0854.9-4426
1.441337e-15,2.0078182,1.2749629e-15,2.0310419,-0.08438301,1.4025667,1.3028302e-15,2.239282,-0.09060176,0.6666667,0.7474592,161.19098,6.022271,0,SrcVela,0,1,0,NoAGN,0.18898337,0.045903813,0.7651128,4FGL J0856.0-4724c
2.0642231e-13,2.654287,3.42494e-13,2.923134,0.36777988,3.1425364,3.6333965e-13,2.8525643,1.1029838,0.6666667,3.0939724,811.3347,25.461359,0.57659566,SrcVela,1,0,0,NoAGN,0.03300767,0.3979357,0.56905663,4FGL J0857.0-4353c
2.5157686e-13,2.5690174,3.1125135e-13,2.6873598,0.18411154,3.1030452,3.0475682e-13,2.5764656,0.30891705,0.6666667,2.212735,1401.1836,10.374258,0,SrcVela,1,0,0,NoAGN,0.001263137,0.014196831,0.98454005,4FGL J0857.7-4256c
2.839094e-13,2.6763427,4.659478e-13,2.9237444,0.35732046,3.560449,4.8091224e-13,2.768078,0.8872705,0.6666667,3.4830523,868.18866,16.017752,0.12092555,SrcVela,1,0,0,NoAGN,0.00057112,0.062133476,0.9372955,4FGL J0858.4-4615c
4.809602e-13,2.5447164,5.6695545e-13,2.6441362,0.16428833,4.4053316,5.655516e-13,2.5372224,0.30276617,0.6666667,3.7866645,2393.7422,7.0684195,0,SrcVela,1,0,0,NoAGN,0.001293391,0.015818156,0.98288846,4FGL J0859.2-4729
2.2262047e-13,2.5521185,3.1752736e-13,2.6874743,0.31157255,4.1798363,3.265022e-13,2.5336006,0.7625715,0.6666667,4.175175,1252.2318,14.547205,0.16368805,SrcVela,1,0,0,NoAGN,0.001320846,0.040329773,0.95834935,4FGL J0859.3-4342
1.3781073e-13,2.6103368,1.6956941e-13,2.916305,0.19848594,1.8976632,1.6765333e-13,2.6991315,0.35192683,0.6666667,1.2683605,678.16895,9.644684,0,SrcVela,0,1,0,NoAGN,0.000255742,0.00468162,0.99506265,4FGL J0859.8-4530c
3.3019258e-13,2.5978954,5.664146e-13,2.8413775,0.48414358,5.165513,5.8643525e-13,2.6586173,1.1469277,0.6666667,5.305663,1318.2395,10.4761,0,SrcVela,1,0,0,NoAGN,7.5481944e-06,0.010395329,0.98959714,4FGL J0900.1-4402c
2.2247527e-14,2.5024798,2.9617893e-14,2.67914,0.21906509,1.8642871,3.2049192e-14,2.5217855,0.6384224,0.6666667,1.9209145,407.77667,12.785244,0,SrcVela,0,1,0,NoAGN,0.003900399,0.012077032,0.9840226,4FGL J0900.2-4608
2.4568032e-13,2.5532422,3.5062169e-13,2.9613943,0.32095692,3.4081645,3.648274e-13,2.921621,0.96397114,0.6666667,2.9918983,1446.8717,12.9727335,0,SrcVela,1,0,0,NoAGN,4.1158506e-05,0.03044118,0.96951765,4FGL J0900.5-4434c
1.7824875e-13,2.4580414,2.3623462e-13,2.5264132,0.27901453,4.3258824,2.3819e-13,2.3854043,0.5795024,0.6666667,4.2394977,1234.6321,9.920301,0,SrcVela,1,0,0,NoAGN,0.000230459,0.005642047,0.9941274,4FGL J0901.1-4456c
1.9285719e-13,2.6000543,2.998132e-13,2.7361236,0.31009212,3.092022,3.156301e-13,2.543377,0.8217539,0.6666667,3.1726012,740.8108,17.356045,0.35296518,SrcVela,1,0,0,NoAGN,0.037612,0.30223343,0.6601546,4FGL J0901.3-4848c
4.483883e-14,2.4884918,5.6475942e-14,2.9355013,0.30591705,1.9876695,6.1193116e-14,2.789661,0.80952,0.6666667,2.0436063,535.87335,14.868461,0,SrcVela,0,1,0,NoAGN,6.460597e-05,0.005593915,0.9943415,4FGL J0902.8-4633
7.7954975e-15,2.1418357,8.308739e-15,2.0548816,0.06260657,0.4135621,8.657476e-15,1.8176774,0.26487783,0.6666667,0.7385698,316.60904,10.547656,0,SrcVela,0,1,0,NoAGN,0.4253419,0.107000366,0.4676577,4FGL J0903.6-5025
7.318175e-13,2.700425,1.7762653e-12,3.1356463,0.58641154,4.6099772,1.8316377e-12,2.8892715,1.3506092,0.6666667,4.6507316,1072.2551,12.197095,0,SrcVela,1,0,0,NoAGN,2.388619e-06,0.019254986,0.9807427,4FGL J0910.3-4816c
1.10998206e-13,2.5641935,1.2941772e-13,2.6733973,0.092779696,1.5683023,1.1771665e-13,2.549027,0.053273764,0.6666667,0,903.77704,11.24959,0,SrcVela,0,1,0,NoAGN,0.004513669,0.020261161,0.97522515,4FGL J0911.6-4738c
8.7032855e-13,2.6596968,1.3695957e-12,2.9805264,0.4198093,5.2476897,1.4190775e-12,2.8621616,1.0740105,0.6666667,4.9830556,1657.4669,16.53796,0.19278671,SrcVela,1,0,0,NoAGN,7.2893796e-05,0.043880045,0.956047,4FGL J0917.9-4755
5.3220606e-13,2.686365,9.074201e-13,2.9831908,0.37959427,3.500785,9.281551e-13,2.7943723,0.9108671,0.6666667,3.3940234,916.9452,5.860596,0,SrcVela,1,0,0,NoAGN,0.000102076,0.036378212,0.96351963,4FGL J0918.9-4904c
